employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate,employer_clean,top_roles,median_salary_all,total_lca_filings,role_category
THE UNIVERSITY OF TEXAS AT AUSTIN,655,12,5,2023,TX,AUSTIN,97.5,667,0.982,THE UNIVERSITY OF TEXAS AT AUSTIN,"Postdoctoral Fellow, Research Associate, Assistant Professor, Research Engineering Scientist Associate, Research Fellow",72000.0,51.0,Data & Research
PINTEREST INC,849,30,5,2023,CA,SAN FRANCISCO,97.5,879,0.966,,,,,
SYSTEM SOFT TECHNOLOGIES LLC,817,27,5,2023,VA,HERNDON,97.5,844,0.968,,,,,
NTT DATA INC,3032,132,5,2023,MA,PLANO,97.5,3164,0.958,,,,,
HEXAWARE TECHNOLOGIES INC,3771,165,5,2023,NJ,ISELIN,97.5,3936,0.958,,,,,
BECTON DICKINSON AND COMPANY,643,11,5,2023,NJ,FRANKLIN LAKES,97.5,654,0.983,,,,,
ROKU INC,632,10,5,2023,CA,SAN JOSE,97.5,642,0.984,,,,,
WAYFAIR LLC,2291,105,5,2023,MA,BOSTON,97.4,2396,0.956,WAYFAIR LLC,"Software Engineer, Senior Analyst, Senior Engineer, Senior Manager, Manager",165000.0,61.0,Software & IT
SAFEWAY INC,577,6,5,2023,CA,PLEASANTON,97.4,583,0.99,,,,,
DELOITTE TAX LLP,1576,70,5,2023,PA,PHILADELPHIA,97.4,1646,0.957,DELOITTE TAX LLP,"Consultant, Tax Manager, Tax Senior, Tax Senior Manager, Software Engineer",81612.0,243.0,Finance & Business
XILINX INC,605,8,5,2023,CA,SAN JOSE,97.4,613,0.987,,,,,
ROBINHOOD MARKETS INC,660,13,5,2023,CA,MENLO PARK,97.4,673,0.981,,,,,
MONTEFIORE MEDICAL CENTER,536,3,5,2023,NY,BRONX,97.4,539,0.994,MONTEFIORE MEDICAL CENTER,"Physician, Clinical Lab Technologist, Internal Medicine Hospitalist, Pediatrician, Anesthesiologist",159363.0,32.0,Healthcare
