employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate,employer_clean,top_roles,median_salary_all,total_lca_filings,role_category
PEOPLE CENTER INC D B A RIPPLING,23,1,1,2023,CA,SAN FRANCISCO,72.1,24,0.958,,,,,
VADATA INC,23,1,1,2019,WA,SEATTLE,72.1,24,0.958,,,,,
21 STAFF LLC,58,27,5,2023,CA,PLEASANTON,72.1,85,0.682,21 STAFF LLC, Pam Engineer,89000.0,1.0,Software & IT
LJ SMITH & ASSOCIATES,44,4,1,2019,AR,BENTONVILLE,72.1,48,0.917,,,,,
VISIONSOFT INTERNATIONAL INC,39,16,5,2023,GA,LAWRENCEVILLE,72.1,55,0.709,,,,,
SYNAPSE TECH SERVICES INC,77,39,5,2023,OH,COLUMBUS,72.1,116,0.664,,,,,
COMPUTE TECH INC,23,8,5,2023,NJ,MIDDLESEX,72.1,31,0.742,,,,,
AVALON SOFTWARE SERVICES LLC,23,8,5,2023,TX,AUSTIN,72.1,31,0.742,AVALON SOFTWARE SERVICES LLC,"Oracle Hrms Analyst, Sr. System Analyst, Software Engineer",118165.0,3.0,Software & IT
RESPONSIVE TECHNOLOGIES INC,23,8,5,2023,CA,LOS ANGELES,72.1,31,0.742,RESPONSIVE TECHNOLOGIES INC,Solutions Architect,71000.0,1.0,Software & IT
S SOUND INPATIENT PHYSICIANS PLLC,23,1,1,2019,WA,TACOMA,72.1,24,0.958,,,,,
VCA INC ANTECH DIAGNOSTICS,11,0,1,2021,CA,ANDERSON,72.0,11,1.0,,,,,
RSM TECHNOLOGY SOLUTIONS INC,25,9,5,2023,TX,IRVING,72.0,34,0.735,,,,,
DHILLON ENGINEERING INC,5,1,5,2023,MD,OWINGS MILLS,72.0,6,0.833,,,,,
FUNCTIONAL SOFTWARE INC DBA SENTRY,14,1,2,2022,CA,SAN FRANCISCO,72.0,15,0.933,,,,,
TOWER HEALTH MEDICAL GROUP,11,0,1,2019,PA,WEST READING,72.0,11,1.0,TOWER HEALTH MEDICAL GROUP,Physician,274500.0,2.0,Healthcare
MARSH & MCLENNAN SHARED SVCS CORP,14,1,2,2022,NJ,HOBOKEN,72.0,15,0.933,,,,,
MCMAHON ASSOCIATES INC,5,1,5,2023,PA,FORT WASHINGTON,72.0,6,0.833,,,,,
HYDE ENGINEERING AND CONSULTING INC,11,0,1,2022,CO,BOULDER,72.0,11,1.0,,,,,
MANASI INFORMATION TECHNOLOGIES IN,11,0,1,2022,NJ,CRANBURY,72.0,11,1.0,,,,,
THE RUSSIAN SCHOOL OF MATH INC,11,0,1,2020,MA,NEWTON CENTER,72.0,11,1.0,,,,,
TENNECO AUTOMOTIVE OPERATING COMPANY INC,14,1,2,2023,MI,GRASS LAKE,72.0,15,0.933,,,,,
EKODUS INC,14,1,2,2023,NJ,CRANBURY,72.0,15,0.933,,,,,
SAN CARLOS UNIFIED SCHOOL DIST 20,11,0,1,2019,AZ,SAN CARLOS,72.0,11,1.0,,,,,
EFORCE SOLUTIONS INC,5,1,5,2023,MI,NORTHVILLE,72.0,6,0.833,EFORCE SOLUTIONS INC,Software Analyst,95000.0,1.0,Software & IT
TECHWORK FORCE LLC,11,0,1,2023,GA,SUWANEE,72.0,11,1.0,,,,,
INVICTECH INC,11,0,1,2022,NJ,EAST WINDSOR,72.0,11,1.0,INVICTECH INC,"Java Developer, Software Engineer",103490.0,2.0,Software & IT
JAMES HARDIE BUILDING PRODUCTS,11,0,1,2021,CA,CHICAGO,72.0,11,1.0,,,,,
"OPEN SYSTEMS INTERNATIONAL, INC.",11,0,1,2019,MN,MEDINA,72.0,11,1.0,"OPEN SYSTEMS INTERNATIONAL, INC.","Power Systems Engineer Ii, Consultant, Power Systems Engineer I, Power Systems Engineer, Sr. System Integration Engineer",85000.0,11.0,Engineering
THE US VIRGIN ISLANDS DEPT OF EDU,11,0,1,2021,VI,ST THOMAS,72.0,11,1.0,,,,,
OPENAI L P,14,1,2,2020,CA,SAN FRANCISCO,72.0,15,0.933,,,,,
SPRINGFIELD CLINIC LLP,11,0,1,2019,IL,SPRINGFIELD,72.0,11,1.0,,,,,
BLUERIBBON GLOBAL TECHNOLOGIES LLC,14,1,2,2023,MO,SAINT LOUIS,72.0,15,0.933,,,,,
RIBBON COMMUNICATIONS OPERATING COMPANY INC,14,1,2,2023,TX,PLANO,72.0,15,0.933,RIBBON COMMUNICATIONS OPERATING COMPANY INC,"Software Engineer, Systems Engineering Sr. Analyst - 076084",132750.0,2.0,Software & IT
UNIV OF TX AT SAN ANTONIO,11,0,1,2022,TX,SAN ANTONIO,72.0,11,1.0,,,,,
AMERICAN UNIV,11,0,1,2022,DC,WASHINGTON,72.0,11,1.0,,,,,
ADVANCE AM CASH ADVANCE CTRS INC,11,0,1,2019,SC,SPARTANBURG,72.0,11,1.0,,,,,
YUGADY TECHNOLOGIES & SERVICES INC,14,1,2,2021,TX,IRVING,72.0,15,0.933,YUGADY TECHNOLOGIES & SERVICES INC,"Software Engineer, Data Engineer, Quality Assurance Automation Engineer",82056.0,9.0,Software & IT
FIRST SOLAR ELECTRIC LLC,14,1,2,2020,AZ,TEMPE,72.0,15,0.933,,,,,
HENNINGSON DURHAM RICHARDSON PC,11,0,1,2019,NE,OMAHA,72.0,11,1.0,,,,,
PACIFIC SPECIALTY INSURANCE CO,11,0,1,2021,CA,ANAHEIM,72.0,11,1.0,,,,,
AMERICAN HONDA MOTOR CO INC,14,1,2,2023,OH,MARYSVILLE,72.0,15,0.933,,,,,
NEXT PHASE SOLUTIONS AND SVCS INC,14,1,2,2021,MD,COLUMBIA,72.0,15,0.933,,,,,
PACIFIC BIOSCIENCES OF CA INC,14,1,2,2022,CA,MENLO PARK,72.0,15,0.933,,,,,
WONDERFUL COMPANY LLC,11,0,1,2019,CA,LOS ANGELES,72.0,11,1.0,,,,,
EC&R SVCS LLC,11,0,1,2019,IL,CHICAGO,72.0,11,1.0,,,,,
ETEAM SOLUTIONS INC,33,13,5,2023,TX,IRVING,72.0,46,0.717,,,,,
KINDRED REHAB SVCS LLC D/B/A REHAB,11,0,1,2020,KY,LOUISVILLE,72.0,11,1.0,,,,,
QC MEDI NEW YORK INC,5,1,5,2023,GA,ATLANTA,72.0,6,0.833,,,,,
EPICOR SOFTWARE CORPORATION,5,1,5,2023,TX,AUSTIN,72.0,6,0.833,,,,,
COMPASS HLTH INC D/B/A COMPASS HEA,11,0,1,2021,MO,CLINTON,72.0,11,1.0,,,,,
GLOBAL INFOTECH LLC,25,9,5,2023,GA,CUMMING,72.0,34,0.735,,,,,
KINDRED REHAB SERVICES LLC D/B/A R,11,0,1,2021,KY,LOUISVILLE,72.0,11,1.0,,,,,
REHAB SPECIALISTS CA LLC DBA CONSO,11,0,1,2021,OR,MILWAUKIE,72.0,11,1.0,,,,,
AMERICA S COLLECTIBLES NETWORK,11,0,1,2020,TN,KNOXVILLE,72.0,11,1.0,,,,,
ATLANTA TRADING ENGINEERING CONSULTING LLC,11,0,1,2022,NJ,PARSIPPANY,72.0,11,1.0,,,,,
PAYOFF INC DBA HAPPY MONEY,11,0,1,2019,CA,COSTA MESA,72.0,11,1.0,,,,,
HOLY NAME MEDICAL CENTER,14,1,2,2022,NJ,TEANECK,72.0,15,0.933,,,,,
SKADDEN ARPS SLATE MEAGHER & FLOM,11,0,1,2019,NY,NEW YORK,72.0,11,1.0,,,,,
ALTERA DIGITAL HEALTH INC,11,0,1,2023,NC,RALEIGH,72.0,11,1.0,,,,,
TORCHSTAR CORP,5,1,5,2023,CA,EASTVALE,72.0,6,0.833,,,,,
ACTAVIS LABORATORIES FL INC,14,1,2,2023,NJ,PARSIPPANY,72.0,15,0.933,,,,,
TANGO MANAGEMENT CONSULTING LLC,11,0,1,2023,TX,COPPELL,72.0,11,1.0,TANGO MANAGEMENT CONSULTING LLC,"Adf Developer, Consultant, Business Intelligence Developer, QA Engineer, Development / Operations Engineer",90000.0,7.0,Software & IT
HASHMAP AN NTT DATA COMPANY,11,0,1,2021,GA,ROSWELL,72.0,11,1.0,,,,,
MASSACHUSETTS GENERAL HOSPITAL/MGP,11,0,1,2022,MA,SOMERVILLE,72.0,11,1.0,,,,,
WHEATON FRANCISCAN MEDICAL GROUP,11,0,1,2019,WI,GLENDALE,72.0,11,1.0,,,,,
NXSTAGE MEDICAL INC A FRESENIUS MEDICAL CARE NA COMPANY,11,0,1,2022,MA,WALTHAM,72.0,11,1.0,,,,,
UNIV OF CONNECTICUT HEALTH CTR,11,0,1,2019,CT,FARMINGTON,72.0,11,1.0,,,,,
SYNCSORT INC DBA PRECISELY,11,0,1,2021,MA,BURLINGTON,72.0,11,1.0,,,,,
ROCKWELL ARCHITECTURE PLANNING AND,11,0,1,2020,NY,NEW YORK,72.0,11,1.0,,,,,
JK TECH US INC,14,1,2,2023,NY,NEW YORK,72.0,15,0.933,,,,,
RESEARCH HORIZONS LLC DBA PHOENIX,14,1,2,2021,NY,RHINEBECK,72.0,15,0.933,,,,,
SWISS RE MANAGEMENT US CORP,11,0,1,2019,NY,ARMONK,72.0,11,1.0,,,,,
ICONNECT LC,33,13,5,2023,VA,ASHBURN,72.0,46,0.717,,,,,
FREEDOM FINANCIAL ASSET MANAGEMENT LLC,14,1,2,2023,CA,SAN MATEO,72.0,15,0.933,FREEDOM FINANCIAL ASSET MANAGEMENT LLC,"Software Engineer, Data Analyst",127000.0,5.0,Software & IT
THE NPD GROUP,11,0,1,2022,NY,PORT WASHINGTON,72.0,11,1.0,,,,,
OAKWOOD HEALTHCARE INC D/B/A BEAUMONT HOSPITAL WAYNE,11,0,1,2022,MI,SOUTHFIELD,72.0,11,1.0,,,,,
ABBVIE BIORESEARCH CENTER INC,11,0,1,2020,IL,NORTH CHICAGO,72.0,11,1.0,,,,,
NOVO PROSO INC,46,20,5,2023,MO,WARRENSBURG,72.0,66,0.697,NOVO PROSO INC,"Software Quality Assurance Engineer, Software Engineer",80000.0,7.0,Software & IT
SLIPPER ROCK UNIVERSITY OF PENNSYL,11,0,1,2019,PA,SLIPPERY ROCK,72.0,11,1.0,,,,,
GRAPHSQL INC DBA TIGERGRAPH,11,0,1,2019,CA,REDWOOD CITY,72.0,11,1.0,,,,,
NATIONAL HOSPITALIST SVCS PC,11,0,1,2021,LA,LAFAYETTE,72.0,11,1.0,,,,,
VIRTUE SERVE LLC DBA VIRTUES,14,1,2,2023,TX,COPPELL,72.0,15,0.933,,,,,
GRANULAR INC,14,1,2,2022,CA,SAN FRANCISCO,72.0,15,0.933,,,,,
INST OF GAS TECH D/B/A GAS TECH IN,11,0,1,2021,IL,DES PLAINES,72.0,11,1.0,,,,,
AXXESS CONSULT INC DBA AXXESS HEALTHCARE CONSULT,14,1,2,2023,TX,DALLAS,72.0,15,0.933,,,,,
ARTIFICIAL INTELLIGENCE TECHNOLOGIES LLC,11,0,1,2022,NE,MC COOK,72.0,11,1.0,,,,,
SPRING INDEPENDENT SCHOOL DISTRICT,14,1,2,2023,TX,HOUSTON,72.0,15,0.933,SPRING INDEPENDENT SCHOOL DISTRICT,Teacher - Elementary ,60500.0,1.0,Education
BOROUGH OF MANHATTAN COMMUNITY COL,11,0,1,2021,NY,NEW YORK,72.0,11,1.0,,,,,
NUCURRENT INC,5,1,5,2023,IL,CHICAGO,72.0,6,0.833,,,,,
AILAW INC,14,1,2,2021,CA,SAN JOSE,72.0,15,0.933,AILAW INC,Marketing Specialist,63294.0,1.0,Finance & Business
WELLSTAR MEDICAL GROUP,11,0,1,2022,GA,MARIETTA,72.0,11,1.0,,,,,
COGNIZANT TRIZETTO SOFTWARE GROUP INC CTSG,11,0,1,2023,CO,COLLEGE STATION,72.0,11,1.0,,,,,
INABIA SOFTWARE AND CONSULTING INC,14,1,2,2023,WA,REDMOND,72.0,15,0.933,INABIA SOFTWARE AND CONSULTING INC,"Data Scientist, Packet Core Engineer, Telecom System Engineer, Qa Analyst",93787.0,4.0,Software & IT
COOPER TIRE & RUBBER CO,11,0,1,2019,OH,FINDLAY,72.0,11,1.0,,,,,
AS AMERICA INC DBA AMERICAN,11,0,1,2021,NJ,PISCATAWAY,72.0,11,1.0,,,,,
SOLSTICE CONSULTING LLC DBA KIN CA,11,0,1,2021,IL,CHICAGO,72.0,11,1.0,,,,,
NNE INC,5,1,5,2023,NC,CLAYTON,72.0,6,0.833,,,,,
ASCENSION HEALTH IS INC D B A ASCENSION TECHNOLOGIES,11,0,1,2022,MO,SAINT LOUIS,72.0,11,1.0,,,,,
FINTHRIVE INC,11,0,1,2023,GA,ALPHARETTA,72.0,11,1.0,,,,,
CUBEDIGICO INC,11,0,1,2023,CA,IRVINE,72.0,11,1.0,,,,,
CLARITY PARTNERS LLC,5,1,5,2023,IL,CHICAGO,72.0,6,0.833,,,,,
ACADEMY LTD D/B/A ACADEMY SPORTS O,14,1,2,2021,TX,KATY,72.0,15,0.933,,,,,
PRICEWATERHOUSECOOPERS PUBLIC SECT,11,0,1,2019,FL,MC LEAN,72.0,11,1.0,,,,,
UPMC HEALTH PLAN INC,5,1,5,2023,PA,PITTSBURGH,72.0,6,0.833,,,,,
VIMEO COM INC,14,1,2,2023,NY,NEW YORK,72.0,15,0.933,,,,,
SOLESTAGE INC,5,1,5,2023,CA,CITY INDUSTRY,72.0,6,0.833,,,,,
MANNKIND CORPORATION,11,0,1,2022,CA,THOUSAND OAKS,72.0,11,1.0,,,,,
DEER VALLEY UNIFIED SCHOOL DISTRICT 97,11,0,1,2022,AZ,PHOENIX,72.0,11,1.0,,,,,
ULTRA CLEAN TECHNOLOGY SYSTEMS & SERVICE INC,11,0,1,2022,CA,HAYWARD,72.0,11,1.0,,,,,
OMEGA SOLUTIONS INC,25,9,5,2023,CA,SANTA CLARA,72.0,34,0.735,,,,,
KEVADIYA INC,5,1,5,2023,MI,PONTIAC,72.0,6,0.833,,,,,
SCIENCE & TECHNOLOGY CORPORATION,11,0,1,2021,CA,HAMPTON,72.0,11,1.0,,,,,
CAMPUS MANAGEMENT CORP,11,0,1,2020,FL,BOCA RATON,72.0,11,1.0,,,,,
U HAUL INTERNATIONAL,11,0,1,2021,AZ,PHOENIX,72.0,11,1.0,,,,,
OLIDEN TECHNOLOGY LLC,5,1,5,2023,TX,STAFFORD,72.0,6,0.833,,,,,
IND AND COMMERCIAL BANK OF CHINA U,11,0,1,2019,NY,NEW YORK,72.0,11,1.0,,,,,
DEAN HEALTH SERVICE COMPANY LLC,11,0,1,2021,WI,MADISON,72.0,11,1.0,,,,,
THE OHIO STATE UNIV,11,0,1,2019,OH,COLUMBUS,72.0,11,1.0,,,,,
NANT HEALTH INC,11,0,1,2019,CA,CULVER CITY,72.0,11,1.0,,,,,
GLOBUS IT INCORPORATED,44,19,5,2023,TX,MCKINNEY,72.0,63,0.698,GLOBUS IT INCORPORATED,"Software  Engineer, Sale Force Developer, Systems Analyst, Software Engineer",101610.0,4.0,Software & IT
TIGER LOANS INC,5,1,5,2023,CA,IRVINE,72.0,6,0.833,,,,,
ENERNOC INC,11,0,1,2019,MA,BOSTON,72.0,11,1.0,,,,,
BACKOFFICE ASSOCIATES LLC DBA SYNITI,11,0,1,2022,MA,NEEDHAM,72.0,11,1.0,,,,,
BAE SYS TECH SOLUTIONS SVCS INC,11,0,1,2019,VA,MC LEAN,72.0,11,1.0,,,,,
ELLIANSE LLC,46,20,5,2023,CA,HENDERSON,72.0,66,0.697,ELLIANSE LLC,"Systems Analyst, Operations Manager, Business Analyst, Project Manager, Information Systems Manager",90000.0,5.0,Management
FINANCIAL RECOVERY TECHS LLC,14,3,4,2022,MA,MEDFORD,71.9,17,0.824,,,,,
ESSENDANT MANAGEMENT SERVICES LLC,11,3,5,2023,IL,DEERFIELD,71.9,14,0.786,,,,,
ALTMAN VILANDRIE & COMPANY,26,5,3,2021,MA,BOSTON,71.9,31,0.839,,,,,
SMART SOLUTIONS INC,27,10,5,2023,MN,GOLDEN VALLEY,71.9,37,0.73,,,,,
CREDITSHOP LLC,20,2,2,2020,TX,AUSTIN,71.9,22,0.909,,,,,
CALFORNIA STATE UNIV LOS ANGELES,22,1,1,2019,CA,LOS ANGELES,71.9,23,0.957,,,,,
INTELLIGENT FUSION TECHNOLOGY INC,11,3,5,2023,MD,GERMANTOWN,71.9,14,0.786,,,,,
REALFLEX APPLICATIONS LLC,14,3,4,2023,OH,AKRON,71.9,17,0.824,REALFLEX APPLICATIONS LLC,Software Engineer,96500.0,1.0,Software & IT
VRIT TECH INC,16,5,5,2023,TX,HURST,71.9,21,0.762,VRIT TECH INC,Software Engineer,90000.0,5.0,Software & IT
NEW YORK INDEPENDENT SYSTEM OPERATOR,35,5,2,2023,NY,RENSSELAER,71.9,40,0.875,NEW YORK INDEPENDENT SYSTEM OPERATOR,"Planning Engineer, Interconnection Studi, Associate Planning Engineer",98005.0,2.0,Engineering
SAVANNAH COLLEGE OF ART AND DESIGN,35,5,2,2021,GA,SAVANNAH,71.9,40,0.875,,,,,
US TECH SYSTEMS INC,14,3,4,2022,FL,JACKSONVILLE,71.9,17,0.824,,,,,
TSYS,59,7,1,2019,GA,COLUMBUS,71.9,66,0.894,,,,,
MILLENNIUM SOFTWARE CONSULTING LLC,16,5,5,2023,VA,CHARLOTTESVILLE,71.9,21,0.762,,,,,
VERATECH SYSTEMS LLC,11,3,5,2023,TX,CEDAR PARK,71.9,14,0.786,,,,,
SKILLMAZE INC,33,7,3,2023,TX,IRVING,71.9,40,0.825,SKILLMAZE INC,Web Logic Administrator,83500.0,1.0,Software & IT
FARGO SOLUTIONS INC,16,5,5,2023,ND,WEST FARGO,71.9,21,0.762,,,,,
IBASE CONS OF FAIRFIELD COUNTY LLC,37,3,1,2021,CT,BRIDGEWATER,71.9,40,0.925,,,,,
SYSAZZLE INC,11,3,5,2023,AZ,PHOENIX,71.9,14,0.786,,,,,
VXI GLOBAL SOLUTIONS LLC,11,3,5,2023,CA,LOS ANGELES,71.9,14,0.786,,,,,
SUNY COLLEGE AT PLATTSBURGH,22,1,1,2022,NY,BUFFALO,71.9,23,0.957,,,,,
TIEDOT SOLUTIONS LLC,11,3,5,2023,IL,ROLLING MEADOWS,71.9,14,0.786,,,,,
XCHANGING SOLUTIONS INC USA,30,2,1,2020,TX,RICHARDSON,71.9,32,0.938,,,,,
SARIAN SOLUTIONS INC,23,6,4,2022,NJ,MONMOUTH JUNCTION,71.9,29,0.793,,,,,
VAARG INC,27,10,5,2023,CA,FREMONT,71.9,37,0.73,,,,,
HITEK FORCE LLC,14,3,4,2022,OR,BEAVERTON,71.9,17,0.824,HITEK FORCE LLC,Software Engineer,115920.0,1.0,Software & IT
PRATT INSTITUTE,14,3,4,2023,NY,BROOKLYN,71.9,17,0.824,,,,,
ED TECH SOFT INC,16,5,5,2023,GA,DULUTH,71.9,21,0.762,,,,,
QSTRIDE INC,11,3,5,2023,NJ,PRINCETON,71.9,14,0.786,,,,,
RICHLAND COUNTY SCH DIST ONE,22,1,1,2019,SC,COLUMBIA,71.9,23,0.957,,,,,
AVERTRA CORP,11,3,5,2023,VA,HERNDON,71.9,14,0.786,,,,,
ENCORE SOFTWARE SERVICES,14,2,3,2022,CA,FREMONT,71.8,16,0.875,,,,,
ROVER RESOURCES INC,17,4,4,2022,TX,ROUND ROCK,71.8,21,0.81,,,,,
M2 RESOURCES INC DBA BLUESTAR TECH,20,5,4,2022,NJ,VOORHEES,71.8,25,0.8,,,,,
TEKFORCE CORPORATION,20,5,4,2022,CA,SAN RAMON,71.8,25,0.8,,,,,
ROBUSTWARE INC,17,4,4,2023,TX,IRVING,71.8,21,0.81,,,,,
MM1 INC,17,4,4,2023,MI,COMMERCE TWP,71.8,21,0.81,,,,,
HARRIS COUNTY HOSPITAL DISTRICT DB,14,2,3,2022,TX,BELLAIRE,71.8,16,0.875,,,,,
ENTERPRISE SOFTWARE SOLUTIONS INC,20,5,4,2023,NJ,SOUTH PLAINFIELD,71.8,25,0.8,,,,,
PERFICT GLOBAL INC,20,5,4,2022,CA,CONCORD,71.8,25,0.8,,,,,
COVENSYS TECHNOLOGIES INC,25,3,2,2023,TX,BEDFORD,71.8,28,0.893,,,,,
VIVID TECHNOLOGIES INC,14,2,3,2022,VA,ALDIE,71.8,16,0.875,VIVID TECHNOLOGIES INC,"Product Owner, Data Analyst, Systems Analyst, Business Analyst",86632.0,5.0,Software & IT
AZURE CONSULTING SERVICES,14,2,3,2022,NJ,EDISON,71.8,16,0.875,,,,,
ASK MEDIA GROUP LLC,14,2,3,2023,CA,OAKLAND,71.8,16,0.875,,,,,
UP2DATE TECHNOLOGIES LLC,17,4,4,2023,GA,ALPHARETTA,71.8,21,0.81,,,,,
WHITRIDGE ASSOCIATES INC,14,2,3,2022,MA,RANDOLPH,71.8,16,0.875,,,,,
THALES AVIONICS INC IFE,25,3,2,2022,CA,IRVINE,71.8,28,0.893,,,,,
MATHA INC,20,5,4,2023,VA,HERNDON,71.8,25,0.8,MATHA INC,"Systems Engineer Oracle, DevOps Engineer",88552.0,2.0,Software & IT
ST LUKE S HEALTH SYSTEM LTD,14,2,3,2022,ID,BOISE,71.8,16,0.875,,,,,
DUKE UNIV HEALTH SYSTEM INC,25,3,2,2020,NC,DURHAM,71.8,28,0.893,,,,,
ABCAM INC,14,2,3,2022,MA,CAMBRIDGE,71.8,16,0.875,,,,,
"SRS CONSULTING, INC.",140,27,1,2019,CA,FREMONT,71.8,167,0.838,"SRS CONSULTING, INC.","Software Engineer, It Engineer, Project Manager, It Engineer , Solutions Architect",110000.0,56.0,Software & IT
ATOSA CATERING EQUIPMENT INC,14,2,3,2021,CA,BREA,71.8,16,0.875,,,,,
RED CEDAR CONSULTANCY LLC,9,1,3,2023,VA,LEESBURG,71.7,10,0.9,,,,,
THE CHILDRENS PLACE SERVICES CO,10,0,1,2022,NJ,SECAUCUS,71.7,10,1.0,,,,,
ABLETO INC,9,1,3,2023,NY,NEW YORK,71.7,10,0.9,,,,,
RADIOLOGY PARTNERS,9,1,3,2022,CA,EL SEGUNDO,71.7,10,0.9,,,,,
MILTECHS INC,9,1,3,2023,CA,MILPITAS,71.7,10,0.9,,,,,
PROJECT FROG INC,9,1,3,2023,CA,SAN FRANCISCO,71.7,10,0.9,,,,,
MESSER NORTH AMERICA INC,9,1,3,2023,NJ,BRIDGEWATER,71.7,10,0.9,,,,,
ZETA GLOBAL CORP FORMERLY ZETA INT,10,0,1,2019,NY,NEW YORK,71.7,10,1.0,,,,,
REVLON CONSUMER PRODUCTS CORP,9,1,3,2021,NY,NEW YORK,71.7,10,0.9,,,,,
CALIFORNIA STATE UNIVERSITY SACRAM,10,0,1,2021,CA,SACRAMENTO,71.7,10,1.0,,,,,
JOHNSON & JOHNSON VISION CARE INC,9,1,3,2022,FL,JACKSONVILLE,71.7,10,0.9,,,,,
KASMO INC,9,1,3,2023,TX,PLANO,71.7,10,0.9,,,,,
THE QUEEN S MEDICAL CENTER,10,0,1,2019,HI,HONOLULU,71.7,10,1.0,,,,,
ACADEMIC MEDICINE SVCS INC D/B/A U,10,0,1,2020,NY,AMHERST,71.7,10,1.0,,,,,
CIVIL & ENVIRONMENTAL CONSULTANTS,9,1,3,2021,PA,PITTSBURGH,71.7,10,0.9,,,,,
THOMSON REUTERS INC TAX & ACCOUNTI,10,0,1,2019,TX,CARROLLTON,71.7,10,1.0,,,,,
RAVEN APPLIED TECHNOLOGIES LLC,10,0,1,2023,SD,SIOUX FALLS,71.7,10,1.0,,,,,
SIT TECH CO LTD,9,1,3,2022,TX,PFLUGERVILLE,71.7,10,0.9,,,,,
FONTEVA INC,22,4,3,2021,VA,ARLINGTON,71.7,26,0.846,,,,,
MERCEDES BENZ RESEARCH & DEVELOPMENT NORTH AMERICA INC,10,0,1,2023,CA,SUNNYVALE,71.7,10,1.0,,,,,
MERCY CLINICS INC D/B/A MERCYONE MEDICAL GROUP CENTRAL IOWA,10,0,1,2022,IA,DES MOINES,71.7,10,1.0,,,,,
UNIVERSITY PHYSICIANS SURGEONS,10,0,1,2019,WV,HUNTINGTON,71.7,10,1.0,,,,,
FORMAGRID INC DBA AIRTABLE,10,0,1,2023,CA,SAN FRANCISCO,71.7,10,1.0,,,,,
BLUE CROSS BLUE SHIELD OF MS,10,0,1,2019,MS,FLOWOOD,71.7,10,1.0,,,,,
THE RESEARCH FOUNDATION FOR THE ST,10,0,1,2019,NY,ALBANY,71.7,10,1.0,,,,,
MERCY HOSPITAL CEDAR RAPIDS IOWA D,9,1,3,2021,IA,CEDAR RAPIDS,71.7,10,0.9,,,,,
ENERSYS INC,10,0,1,2021,PA,READING,71.7,10,1.0,,,,,
CAMBIUM NETWORKS INC,9,1,3,2023,IL,ROLLING MEADOWS,71.7,10,0.9,,,,,
FOCUSSOFT TECH INC,8,2,5,2023,OH,DUBLIN,71.7,10,0.8,,,,,
KEYAMED NA INC,10,0,1,2021,WA,SEATTLE,71.7,10,1.0,,,,,
THE NEMOURS FDN NEMOURS DUPONT PED,10,0,1,2021,FL,JACKSONVILLE,71.7,10,1.0,,,,,
THE BOZZUTO GROUP,9,1,3,2021,MD,GREENBELT,71.7,10,0.9,,,,,
METROPOLITAN STATE UNIVERSITY,10,0,1,2019,MN,SAINT PAUL,71.7,10,1.0,,,,,
ENDURANCE SERVICES LIMITED D B A SOMPO INTERNATIONAL,10,0,1,2022,NY,FLORHAM PARK,71.7,10,1.0,,,,,
THE RESEARCH INSTITUTE AT NATIONWI,29,2,1,2019,OH,COLUMBUS,71.7,31,0.935,,,,,
ADDO CONSULTING INC,8,2,5,2023,VA,HERNDON,71.7,10,0.8,,,,,
LONDON STOCK EXCHANGE GR HOLDINGS,10,0,1,2019,NY,NEW YORK,71.7,10,1.0,,,,,
CALIFORNIA STATE POLYTECHNIC UNIVERSITY POMONA,10,0,1,2022,CA,POMONA,71.7,10,1.0,,,,,
TEXAS CHRISTIAN UNIV,10,0,1,2022,TX,FORT WORTH,71.7,10,1.0,,,,,
ST JUDE MEDICAL CARDIOLOGY DIVISIO,10,0,1,2019,IL,NORTH CHICAGO,71.7,10,1.0,,,,,
TESTEK INC.,10,0,1,2019,MI,WIXOM,71.7,10,1.0,,,,,
COGENT HEALTHCARE OF GEORGIA PC D,10,0,1,2019,WA,TACOMA,71.7,10,1.0,,,,,
ESTEEMIT INC,10,0,1,2022,GA,ALPHARETTA,71.7,10,1.0,,,,,
VERIZON TELEMATICS INC,29,2,1,2019,NJ,ADDISON,71.7,31,0.935,,,,,
PROVIDENCE HEALTH & SERVICES OREGON,10,0,1,2023,WA,RENTON,71.7,10,1.0,,,,,
ADVANCED SOFTWARE SYSTEMS INC,9,1,3,2021,VA,STERLING,71.7,10,0.9,,,,,
JTEKT TOYODA AMERICAS CORPORATION,8,2,5,2023,IL,ARLINGTON HEIGHTS,71.7,10,0.8,,,,,
RIVERSIDE PHYSICIAN SERVICES INC D/B/A RIVERSIDE MEDICAL GROUP,10,0,1,2022,VA,NEWPORT NEWS,71.7,10,1.0,,,,,
TENNECO AUTOMOTIVE OPERATING COMPA,10,0,1,2019,MI,MONROE,71.7,10,1.0,,,,,
PROMEDICA CENTRAL PHYSICIANS LLC,10,0,1,2019,OH,TOLEDO,71.7,10,1.0,,,,,
ADCOLONY INC,9,1,3,2022,CA,LOS ANGELES,71.7,10,0.9,,,,,
EXPERIAN SVCS CORP,10,0,1,2022,CA,COSTA MESA,71.7,10,1.0,,,,,
QUALEX CONSULTING SERVICES INC,9,1,3,2022,FL,MIAMI BEACH,71.7,10,0.9,,,,,
SILVER LAKE TECHNOLOGY MANAGEMENT LLC,10,0,1,2022,NY,NEW YORK,71.7,10,1.0,,,,,
FLIPBOARD INC,9,1,3,2022,CA,PALO ALTO,71.7,10,0.9,,,,,
