employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate
ARGONAUT MANAGEMENT SERVICES INC,5,0,2,2021,TX,SAN ANTONIO,72.5,5,1.0
DATAMTX LLC,5,0,2,2021,GA,PEACHTREE CORNERS,72.5,5,1.0
STRONG ARM TECHNOLOGIES INC,5,0,2,2022,NY,BROOKLYN,72.5,5,1.0
O3B NETWORKS USA LLC,5,0,2,2022,PA,HAWLEY,72.5,5,1.0
OAK HILL CAPITAL MANAGEMENT LLC,5,0,2,2022,CT,STAMFORD,72.5,5,1.0
CONVERGE DIRECT LLC,5,0,2,2022,NY,BEDFORD HILLS,72.5,5,1.0
TTI MACAO COMMERCIAL OFFSHORE LTD,5,0,2,2020,SC,ANDERSON,72.5,5,1.0
INTERNATIONAL MERCHANDISING COMPANY LLC,5,0,2,2023,NY,CLEVELAND,72.5,5,1.0
TTI CONSUMER POWER TOOLS INC,5,0,2,2023,SC,ANDERSON,72.5,5,1.0
CENTER FOR FAMILY LIFE IN SUNSET PARK INC,5,0,2,2023,NY,BROOKLYN,72.5,5,1.0
NASDAQ CORPORATE SOLUTIONS LLC,5,0,2,2022,NY,NEW YORK,72.5,5,1.0
DAVIDSON COLLEGE,7,1,4,2022,NC,DAVIDSON,72.5,8,0.875
IDEX SERVICE CORPORATION,7,1,4,2022,IL,LAKE FOREST,72.5,8,0.875
DATAGAMA INC,5,0,2,2023,NJ,PRINCETON,72.5,5,1.0
WHITERABBIT AI INC,5,0,2,2021,CA,SANTA CLARA,72.5,5,1.0
AZCO CORPORATION,5,0,2,2021,NJ,FAIRFIELD,72.5,5,1.0
WESTINGHOUSE ELECTRIC COMPANY LLC,5,0,2,2020,PA,CRANBERRY TOWNSHIP,72.5,5,1.0
NATIONAL GRID RENEWABLES DEVELOPMENT LLC,5,0,2,2023,MN,BLOOMINGTON,72.5,5,1.0
DASSAULT SYSTEMS SOLIDWORKS CORP,13,0,1,2022,MA,CRANSTON,72.5,13,1.0
DATA CONSULTANTS CORPORATION,5,0,2,2022,IL,AURORA,72.5,5,1.0
WEVIDEO INC,5,0,2,2022,CA,MOUNTAIN VIEW,72.5,5,1.0
ARLON GRAPHICS LLC,7,1,4,2022,CA,PLACENTIA,72.5,8,0.875
KUSTOMER INC,10,1,3,2022,NY,NEW YORK,72.5,11,0.909
TURNER BROADCASTING SALES INC,5,0,2,2020,GA,ATLANTA,72.5,5,1.0
DATA WAREHOUSE CONSULTANTS LLC,5,0,2,2022,PA,PITTSBURGH,72.5,5,1.0
SPELLMAN HIGH VOLTAGE ELECS CORP,5,0,2,2020,NY,HAUPPAUGE,72.5,5,1.0
DATAART SOLUTIONS INC,5,0,2,2022,NY,NEW YORK,72.5,5,1.0
STRUCTURAL ENGINEERING TECHS PC,5,0,2,2020,NY,LONG ISLAND CITY,72.5,5,1.0
NATIONAL ACCOUNT SERVICE COMPANY LLC,5,0,2,2023,GA,ATLANTA,72.5,5,1.0
MARBLE FALLS INDEPENDENT SCHOOL DISTRICT,5,0,2,2023,TX,MARBLE FALLS,72.5,5,1.0
DATADIGM LLC,5,0,2,2022,WA,SAMMAMISH,72.5,5,1.0
SPELLMAN HIGH VOLTAGE ELECTRONICS,5,0,2,2022,NY,HAUPPAUGE,72.5,5,1.0
SERVICE MANAGEMENT GROUP LLC,5,0,2,2021,MO,KANSAS CITY,72.5,5,1.0
WESTERN WA UNIV,13,0,1,2019,WA,BELLINGHAM,72.5,13,1.0
ODK MEDIA INC,7,1,4,2022,CA,FULLERTON,72.5,8,0.875
ICE CLEAR U S INC,5,0,2,2021,GA,ATLANTA,72.5,5,1.0
WICKED FASHIONS INC,7,1,4,2023,NJ,FORT LEE,72.5,8,0.875
ARBOR BIOTECHNOLOGIES INC,5,0,2,2022,MA,CAMBRIDGE,72.5,5,1.0
SAR TECH LLC,42,17,5,2023,CA,FREMONT,72.5,59,0.712
SYRG INC,5,0,2,2021,MA,BRIGHTON,72.5,5,1.0
ARB TRADING GROUP LLC,5,0,2,2020,IL,CHICAGO,72.5,5,1.0
OFINNO LLC,5,0,2,2022,VA,RESTON,72.5,5,1.0
IBUSINESS SOLUTION LLC,28,10,5,2023,PA,MECHANICSBURG,72.5,38,0.737
OH MY GREEN INC,5,0,2,2020,CA,BURLINGAME,72.5,5,1.0
DECISION ENGINES INC,5,0,2,2021,CA,SANTA CLARA,72.5,5,1.0
WIENCEK ASSOCS ARCHITECTS PLANNERS,5,0,2,2021,DC,WASHINGTON,72.5,5,1.0
OHIO NORTHERN UNIVERSITY,5,0,2,2023,OH,ADA,72.5,5,1.0
OHIO PHYSICIANS PRO CORP,5,0,2,2022,OH,CANTON,72.5,5,1.0
OHIO PUBLIC EMPLOYEES RETIREMENT S,5,0,2,2021,OH,COLUMBUS,72.5,5,1.0
DECISION RESOURCES LLC,15,1,2,2022,MA,BURLINGTON,72.5,16,0.938
CENTER FOR CULTURAL & TECHNICAL IN,5,0,2,2021,HI,HONOLULU,72.5,5,1.0
ODESSA JUNIOR COLLEGE DBA ODESSA COLLEGE,5,0,2,2023,TX,ODESSA,72.5,5,1.0
DAWNLIGHT TECHNOLOGIES INC,5,0,2,2021,CA,PALO ALTO,72.5,5,1.0
NANOVA BIOMATERIALS INC,5,0,2,2021,MO,COLUMBIA,72.5,5,1.0
TRUX INC,5,0,2,2020,MA,WALTHAM,72.5,5,1.0
CONTROLSOFT INC,7,1,4,2022,OH,CLEVELAND,72.5,8,0.875
SYNOVASOFT INC,15,1,2,2023,NJ,PRINCETON,72.5,16,0.938
BACKCHINA LLC,5,0,2,2021,TX,PEARLAND,72.5,5,1.0
CONTRACT WRANGLER INC,5,0,2,2020,CA,SAN MATEO,72.5,5,1.0
SOUTHWEST MEDICAL ASSOCIATES LLC D,5,0,2,2022,NM,ALBUQUERQUE,72.5,5,1.0
TRUSTWAVE HOLDINGS INC,10,1,3,2021,IL,CHICAGO,72.5,11,0.909
INTERNET CORP FOR ASSIGNED NAMES &,5,0,2,2021,CA,PLAYA VISTA,72.5,5,1.0
NANOWEAR INC,5,0,2,2022,NY,BROOKLYN,72.5,5,1.0
ICLOUDWA LLC,13,0,1,2022,TX,PLANO,72.5,13,1.0
DBSYSGRAPH INC,5,0,2,2022,LA,BATON ROUGE,72.5,5,1.0
BACKCOUNTRY COM LLC,10,1,3,2023,UT,PARK CITY,72.5,11,0.909
CENTER FOR FAMILY HEALTH,5,0,2,2022,MI,JACKSON,72.5,5,1.0
DYNAPAR CORPORATION DBA SPECIALTY PRODUCT TECHNOLOGIES,5,0,2,2023,NC,ELIZABETHTOWN,72.5,5,1.0
ICE DATA PRICING & REFERENCE DATA LLC,5,0,2,2023,GA,ATLANTA,72.5,5,1.0
LATHAM THE POOL COMPANY,5,0,2,2022,NY,LATHAM,72.5,5,1.0
CENTRAL COMMUNITY COLLEGE,7,1,4,2023,NE,GRAND ISLAND,72.5,8,0.875
NORTHEAST OHIO MEDICAL UNIVERSITY,5,0,2,2021,OH,ROOTSTOWN,72.5,5,1.0
SPACE EXPLORATION TECHNOLOGIES CORP,5,0,2,2023,CA,HAWTHORNE,72.5,5,1.0
NOVA GROUP GBC,5,0,2,2022,MN,CHASKA,72.5,5,1.0
NATURE S SUNSHINE PRODUCTS INC,7,1,4,2022,UT,LEHI,72.5,8,0.875
WEST VIRGINIA STATE UNIVERSITY,5,0,2,2022,WV,INSTITUTE,72.5,5,1.0
AVO MULTI AMP CORPORATION DBA MEGGER,5,0,2,2023,TX,DALLAS,72.5,5,1.0
CORE LABORATORIES LP,7,1,4,2022,TX,HOUSTON,72.5,8,0.875
NOVEL ENGINEERING INC,5,0,2,2022,FL,MELBOURNE,72.5,5,1.0
NOVELSTAR PHARMACEUTICALS INC,5,0,2,2023,NJ,CRANBURY,72.5,5,1.0
AVPS TECHNOLOGIES INC,5,0,2,2022,GA,ALPHARETTA,72.5,5,1.0
VALLEY QUEEN CHEESE FACTORY INC,7,1,4,2022,SD,MILBANK,72.5,8,0.875
INTELLITASK LLC,7,1,4,2023,TX,RICHARDSON,72.5,8,0.875
CORBUS PHARMACEUTICALS INC,5,0,2,2022,MA,NORWOOD,72.5,5,1.0
D2 DENTAL OF MICHIGAN PC,5,0,2,2021,IL,OAK PARK,72.5,5,1.0
INCENTIVE TECHNOLOGY GROUP LLC,7,1,4,2022,VA,ARLINGTON,72.5,8,0.875
NATL FDN FOR CANCER RESEARCH,5,0,2,2022,MD,ROCKVILLE,72.5,5,1.0
NATL COMMITTEE FOR QUALITY ASSURAN,5,0,2,2020,DC,WASHINGTON,72.5,5,1.0
ASCENSION MED GRP PROMED D/B/A BOR,5,0,2,2022,MI,KALAMAZOO,72.5,5,1.0
NORTHWOOD UNIVERSITY,5,0,2,2022,MI,MIDLAND,72.5,5,1.0
CHARLES R DREW UNIV OF MEDICINE &,5,0,2,2021,CA,LOS ANGELES,72.5,5,1.0
BRIERLEY & PARTNERS INC,10,1,3,2021,TX,FRISCO,72.5,11,0.909
NORTHEAST RETIREMENT SERVICES LLC,5,0,2,2022,MA,WOBURN,72.5,5,1.0
LARSEN TOUBRO INFOTECH LIMITED,5,0,2,2021,NJ,EDISON,72.5,5,1.0
NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH AND EDUCATION,5,0,2,2023,CA,SAN FRANCISCO,72.5,5,1.0
BRIDGERA LLC,5,0,2,2020,NC,RALEIGH,72.5,5,1.0
SCHOOL DISTRICT OF KANSAS CITY 33,5,0,2,2021,MO,KANSAS CITY,72.5,5,1.0
SWEETWATER ENERGY INC,5,0,2,2021,NY,ROCHESTER,72.5,5,1.0
NORTHOUT INC,10,1,3,2021,MA,BOSTON,72.5,11,0.909
SCHOLAR ROCK INC SUBSIDIARY OF SCH,5,0,2,2021,MA,CAMBRIDGE,72.5,5,1.0
NORTHRIDGE INSIGHT INC,5,0,2,2022,NJ,BEDMINSTER,72.5,5,1.0
SWERVE COLO LLC,5,0,2,2021,NY,NEW YORK,72.5,5,1.0
NATURES VALUE INC,5,0,2,2022,NY,CORAM,72.5,5,1.0
ASCENSION MEDICAL GROUP FOX VALLEY,5,0,2,2020,WI,GLENDALE,72.5,5,1.0
NORTHWEST HOSPITAL LLC,5,0,2,2022,AZ,TUCSON,72.5,5,1.0
CYRUSONE LLC,5,0,2,2020,TX,DALLAS,72.5,5,1.0
NORTHWINDS TECHNOLOGY SOLUTIONS LLC,5,0,2,2023,VA,ROANOKE,72.5,5,1.0
SENTILINK CORP,5,0,2,2023,CA,SAN FRANCISCO,72.5,5,1.0
BRIGHT HEALTH MANAGEMENT INC,5,0,2,2023,MN,MINNEAPOLIS,72.5,5,1.0
WESTERN UNIVERSITY OF HEALTH SCIENCES,5,0,2,2023,CA,POMONA,72.5,5,1.0
IMPERIAL BAG & PAPER CO LLC,5,0,2,2021,NJ,JERSEY CITY,72.5,5,1.0
CONVERSE COLLEGE,5,0,2,2022,SC,SPARTANBURG,72.5,5,1.0
LASERSHIP INC,7,1,4,2022,VA,VIENNA,72.5,8,0.875
CONVERGENT RESEARCH LLC,5,0,2,2023,CA,ALAMEDA,72.5,5,1.0
DANIEL L SUN INC DBA SUN NET INC,5,0,2,2022,CA,SAN JOSE,72.5,5,1.0
IMMUNEID INC,5,0,2,2022,MA,WALTHAM,72.5,5,1.0
DAPPER AMERICA INC DBA DAPPER LABS,5,0,2,2022,CA,MOUNTAIN VIEW,72.5,5,1.0
SEQUOIA CONSULTING GROUP LLC,5,0,2,2020,CA,SOLANA BEACH,72.5,5,1.0
IMERYS USA INC,5,0,2,2023,GA,ROSWELL,72.5,5,1.0
NATIONAL INSTITUTE OF AEROSPACE,5,0,2,2023,VA,HAMPTON,72.5,5,1.0
KYOCERA DOCUMENT SOLUTIONS AMERICA,5,0,2,2021,NJ,FAIRFIELD,72.5,5,1.0
WESTERN RESERVE HEALTH EDUCATION I,13,0,1,2021,TX,DALLAS,72.5,13,1.0
DARKTRACE INC,5,0,2,2022,CA,SAN FRANCISCO,72.5,5,1.0
NUVISION INC DBA GLOTECH SOLUTIONS,5,0,2,2021,PA,YARDLEY,72.5,5,1.0
NUVIZZ INC,5,0,2,2022,GA,ATLANTA,72.5,5,1.0
DASCENA INC,5,0,2,2022,TX,HOUSTON,72.5,5,1.0
INTERIOR SPECIALISTS INC,5,0,2,2023,CA,IRVINE,72.5,5,1.0
ARTIZEN INC,5,0,2,2022,CA,ROHNERT PARK,72.5,5,1.0
SWYFT INC,7,1,4,2022,CA,OAKLAND,72.5,8,0.875
INTERIOR ARCHITECTS INC,5,0,2,2022,CA,SAN FRANCISCO,72.5,5,1.0
ASA COMPUTERS INC,5,0,2,2021,CA,FREMONT,72.5,5,1.0
NTT DATA ENTERPRISE SERVICES INC,5,0,2,2020,MA,CHARLESTOWN,72.5,5,1.0
DAIMLER TRUCK FINANCIAL SERVICES USA LLC,13,0,1,2022,MI,FARMINGTON,72.5,13,1.0
AVX ANTENNA INC,7,1,4,2022,CA,SAN DIEGO,72.5,8,0.875
DAINTREE NETWORKS INC,5,0,2,2020,MA,BOSTON,72.5,5,1.0
AWARE EON LLC,5,0,2,2021,VA,FAIRFAX,72.5,5,1.0
NUBE9 LLC,5,0,2,2023,OH,WEST CHESTER,72.5,5,1.0
NUCLEO LIFE SCIENCES LLC,5,0,2,2021,CA,SAN RAFAEL,72.5,5,1.0
UNITY HEALTH NETWORK,5,0,2,2021,OH,CUYAHOGA FALLS,72.5,5,1.0
INTERACTIVE STRENGTH INC DBA FORME,5,0,2,2021,CA,WEST HOLLYWOOD,72.5,5,1.0
SP TEKS INC,5,0,2,2023,IL,SCHAUMBURG,72.5,5,1.0
SYMBIONT IO INC,5,0,2,2022,NY,NEW YORK,72.5,5,1.0
INTERDEFENSE INC,5,0,2,2023,VA,ASHBURN,72.5,5,1.0
CONVEXTREE INC,10,1,3,2022,NJ,PRINCETON,72.5,11,0.909
WESTERN CONNECTICUT STATE UNIV,5,0,2,2020,CT,DANBURY,72.5,5,1.0
DYNAMIC ISOLATION SYSTEMS INC,5,0,2,2022,NV,SPARKS,72.5,5,1.0
BURKE STRUCTURAL ENGINEERS PC,5,0,2,2020,CA,COSTA MESA,72.5,5,1.0
PEEK TRAVEL INC,5,0,2,2020,CA,SAN FRANCISCO,72.5,5,1.0
LINK LABS INC,5,0,2,2022,MD,ANNAPOLIS,72.5,5,1.0
COCHLEAR AMERICAS,5,0,2,2022,CO,LONE TREE,72.5,5,1.0
GEMALTO COGENT INC,5,0,2,2020,CA,AUSTIN,72.5,5,1.0
GELBER GROUP LLC,5,0,2,2022,IL,CHICAGO,72.5,5,1.0
TEXAS WINDSTORM INSURANCE ASSOCIAT,7,1,4,2022,TX,AUSTIN,72.5,8,0.875
MED-METRIX LLC,5,0,2,2021,NJ,PARSIPPANY,72.5,5,1.0
MH HOSPITAL MANAGER LLC,5,0,2,2021,NC,ASHEVILLE,72.5,5,1.0
ADAPTIVE BIOTECHNOLOGIES CORP,7,1,4,2022,WA,SEATTLE,72.5,8,0.875
CITIZENS NATIONAL BANK OF TEXAS,5,0,2,2023,TX,WAXAHACHIE,72.5,5,1.0
THE SPUR GROUP INC,10,1,3,2022,WA,BELLEVUE,72.5,11,0.909
SILICON SOFTWARE TECHNOLOGIES INC,5,0,2,2022,MI,ROCHESTER HILLS,72.5,5,1.0
SILICON SPECTRA INC,40,16,5,2023,CA,SANTA CLARA,72.5,56,0.714
QUAD/GRAPHICS INC,5,0,2,2020,WI,SUSSEX,72.5,5,1.0
RICHMOND PHYSICAL THERAPY PC,5,0,2,2021,NY,STATEN ISLAND,72.5,5,1.0
GE MEDICAL SYSTEMS INFO TECHS INC,5,0,2,2020,CT,NORWALK,72.5,5,1.0
THE STATE BAR OF CALIFORNIA,5,0,2,2022,CA,SAN FRANCISCO,72.5,5,1.0
LINK LOGISTICS REAL ESTATE HOLDCO LLC,5,0,2,2023,NY,NEW YORK,72.5,5,1.0
CALIFORNIA LUTHERAN UNIVERSITY,7,1,4,2023,CA,THOUSAND OAKS,72.5,8,0.875
GENER8 LLC,5,0,2,2023,CA,SUNNYVALE,72.5,5,1.0
LINEDATA L&C INC,5,0,2,2021,WA,SEATTLE,72.5,5,1.0
TEXAS EZPAWN LP,5,0,2,2022,TX,AUSTIN,72.5,5,1.0
ADRIAN SMITH GORDON GILL,5,0,2,2020,IL,CHICAGO,72.5,5,1.0
TEXAS A&M UNIV COMMERCE,15,1,2,2022,TX,COMMERCE,72.5,16,0.938
MICELLE BIOPHARMA INC,5,0,2,2020,FL,RIVIERA BEACH,72.5,5,1.0
PURPLE INNOVATION LLC,5,0,2,2021,UT,ALPINE,72.5,5,1.0
ADLER UNIVERSITY,5,0,2,2022,IL,CHICAGO,72.5,5,1.0
PUYANG & ASSOCIATES LLC,5,0,2,2021,MD,CATONSVILLE,72.5,5,1.0
CARETRACKER INC,5,0,2,2022,RI,WEST WARWICK,72.5,5,1.0
ADIVO ASSOCIATES LLC,5,0,2,2022,CA,SAN FRANCISCO,72.5,5,1.0
GENESIS CAPITAL LLC,7,1,4,2022,CA,SHERMAN OAKS,72.5,8,0.875
GENESIC SEMICONDUCTOR INC,5,0,2,2022,VA,STERLING,72.5,5,1.0
GENERAL PHYSICIAN PC,5,0,2,2022,NY,BUFFALO,72.5,5,1.0
ZACKS INVESTMENT MANAGEMENT INC,7,1,4,2023,IL,CHICAGO,72.5,8,0.875
SILA NANOTECHNOLOGIES INCORPORATED,5,0,2,2020,CA,ALAMEDA,72.5,5,1.0
LUCEY CORP DBA LM GLOBAL PARTNERS,5,0,2,2022,FL,SAINT PETERSBURG,72.5,5,1.0
PYXANT LABS INC,5,0,2,2022,CO,COLORADO SPRINGS,72.5,5,1.0
MGH INSTITUTE OF HEALTH PROFESSIONS,5,0,2,2023,MA,SOMERVILLE,72.5,5,1.0
ST COLETTA OF GREATER WASHINGTON,5,0,2,2021,DC,WASHINGTON,72.5,5,1.0
CARMEUSE LIME AND STONE INC,5,0,2,2021,PA,PITTSBURGH,72.5,5,1.0
VITEOS FUND SERVICES LLC,5,0,2,2021,NJ,SOMERSET,72.5,5,1.0
ACQUIRE CONSULTING GROUP LTD,7,1,4,2023,NY,HICKSVILLE,72.5,8,0.875
GAMECHANGE SOLAR CORP,5,0,2,2023,CT,NORWALK,72.5,5,1.0
KALLIDUS INC,5,0,2,2020,TX,PLANO,72.5,5,1.0
GAI CONSULTANTS INC,5,0,2,2022,PA,HOMESTEAD,72.5,5,1.0
KALYPSO LLC,5,0,2,2022,WI,MILWAUKEE,72.5,5,1.0
GADSDEN REGIONAL PHYSICIAN GROUP P,5,0,2,2021,AL,GADSDEN,72.5,5,1.0
ZENITH REHABILITATION SVCS INC,5,0,2,2022,CA,CHINO,72.5,5,1.0
SSOE INC D B A SSOE GROUP,5,0,2,2023,OH,TOLEDO,72.5,5,1.0
EXPOSED FLOOR DESIGN GROUP LLC DBA EXPOSED DESIGN GROUP,5,0,2,2023,TX,DALLAS,72.5,5,1.0
RH SHEPPARD CO INC,5,0,2,2022,PA,HANOVER,72.5,5,1.0
MEDAVANTE-PROPHASE INC,5,0,2,2021,NC,CARY,72.5,5,1.0
THE BASE HOLDING COMPANY DBA MUSHROOM GG,5,0,2,2023,CA,PALO ALTO,72.5,5,1.0
BOERBOEL LLC,7,1,4,2022,IL,CHICAGO,72.5,8,0.875
QUIBI HOLDINGS LLC,5,0,2,2021,CA,LOS ANGELES,72.5,5,1.0
KAPLAN NORTH AMERICA LLC,5,0,2,2023,FL,FORT LAUDERDALE,72.5,5,1.0
ACG MANAGEMENT SOLUTIONS LLC,5,0,2,2021,IL,CHICAGO,72.5,5,1.0
QUANTUMSCAPE CORPORATION,5,0,2,2020,CA,SAN JOSE,72.5,5,1.0
BKO SERVICES INC,5,0,2,2022,TX,HOUSTON,72.5,5,1.0
RI-2 LLC,5,0,2,2021,MA,GROTON,72.5,5,1.0
THE SCH BOARD OF THE CITY OF PETER,5,0,2,2021,VA,PETERSBURG,72.5,5,1.0
KAIROS POWER LLC,7,1,4,2022,CA,ALAMEDA,72.5,8,0.875
MGAGE LLC,5,0,2,2020,GA,ATLANTA,72.5,5,1.0
THE SPEECH PATHOLOGY GROUP INC,5,0,2,2022,CA,WALNUT CREEK,72.5,5,1.0
KAL FREIGHT INC,5,0,2,2022,CA,FONTANA,72.5,5,1.0
ZELUS INC,5,0,2,2023,CA,ANTIOCH,72.5,5,1.0
"THE SMART CUBE, INC.",5,0,2,2023,IL,CHICAGO,72.5,5,1.0
VEECO PROCESS EQUIPMENT INC,5,0,2,2020,MA,BOSTON,72.5,5,1.0
VEEDER ROOT FUELQUEST LLC,5,0,2,2020,TX,HOUSTON,72.5,5,1.0
BITSOLUTIONSUS LLC,5,0,2,2023,TX,DALLAS,72.5,5,1.0
GAUNTLET NETWORKS INC,5,0,2,2022,CA,SAN FRANCISCO,72.5,5,1.0
ZENABI DATA LLC,5,0,2,2020,CT,WESTPORT,72.5,5,1.0
EXTERRAN ENERGY SOLUTIONS LP,5,0,2,2021,TX,HOUSTON,72.5,5,1.0
KALIBRI LABS LLC,5,0,2,2022,MD,POTOMAC,72.5,5,1.0
EXXONMOBIL GLOBAL PROJECTS COMPANY,5,0,2,2022,TX,SPRING,72.5,5,1.0
THE SCHEPENS EYE RESEARCH INSTITUT,5,0,2,2020,MA,BOSTON,72.5,5,1.0
ST JOSEPHS CANDLER HEALTH SYSTEM,5,0,2,2022,GA,SAVANNAH,72.5,5,1.0
PULTE HOME COMPANY LLC,5,0,2,2021,GA,ATLANTA,72.5,5,1.0
PULMONARY ASSOCIATES PC,5,0,2,2022,MI,FLINT,72.5,5,1.0
ESKENAZI MEDICAL GROUP INC,5,0,2,2020,IN,INDIANAPOLIS,72.5,5,1.0
YIXUE EDUCATION INC,5,0,2,2021,NJ,HIGHLAND PARK,72.5,5,1.0
ADVENTIST HEALTH SYSTEMS GEORGIA I,5,0,2,2021,FL,ALTAMONTE SPRINGS,72.5,5,1.0
ERIC COLBERT & ASSOCIATES PC,5,0,2,2022,DC,WASHINGTON,72.5,5,1.0
LIKEWIZE DEVICE PROTECTION LLC,5,0,2,2023,FL,ALPHARETTA,72.5,5,1.0
ES SEARCH CONSULTANTS LLC,5,0,2,2022,TX,IRVING,72.5,5,1.0
CHURCHILL DOWNS TECHNOLOGY INITIAT,5,0,2,2021,KY,LOUISVILLE,72.5,5,1.0
TERAFINA INC,5,0,2,2022,CA,ATLANTA,72.5,5,1.0
PROPLANNER INC,5,0,2,2021,IA,AMES,72.5,5,1.0
CARGOMATRIX INC,7,1,4,2023,NY,HEWLETT,72.5,8,0.875
CARL ZEISS INDUSTRIAL METROLOGY L,5,0,2,2022,NY,WHITE PLAINS,72.5,5,1.0
MIDIGATOR LLC,5,0,2,2022,UT,AMERICAN FORK,72.5,5,1.0
MIDDLE GEORGIA STATE UNIVERSITY,5,0,2,2022,GA,MACON,72.5,5,1.0
COGENT HEALTHCARE OF MONTANA P C D,5,0,2,2021,WA,TACOMA,72.5,5,1.0
SONUS SOFTWARE SOLUTIONS INC,28,10,5,2023,UT,OREM,72.5,38,0.737
ADVANCY INC,5,0,2,2022,NY,NEW YORK,72.5,5,1.0
JTEKT AUTOMOTIVE NORTH AMERICA,5,0,2,2021,SC,GREENVILLE,72.5,5,1.0
LUNDQUIST CONSULTING INC LCI,5,0,2,2022,CA,BURLINGAME,72.5,5,1.0
PROJECT PORSCHE HOLDING CORPORATIO,5,0,2,2021,MN,BLOOMINGTON,72.5,5,1.0
MIGHTY SOFTWARE INC,10,1,3,2022,CA,PALO ALTO,72.5,11,0.909
TEQSPHERE LLC,5,0,2,2023,SC,SANTEE,72.5,5,1.0
PROFESSIONAL ORTHOPEDIC & SPORTS P,5,0,2,2021,NY,MELVILLE,72.5,5,1.0
VOGT POWER INTERNATIONAL INC,5,0,2,2022,KY,LOUISVILLE,72.5,5,1.0
THEMESOFTEK LLC,5,0,2,2022,CA,SAN RAMON,72.5,5,1.0
BHATIA AND CO INC CPAS,5,0,2,2022,CA,SANTA CLARA,72.5,5,1.0
GLOBAL HEALTH LABS LLC,5,0,2,2022,WA,KIRKLAND,72.5,5,1.0
LIGHTSOURCE RENEWABLE ENERGY US LLC,5,0,2,2023,CA,SAN FRANCISCO,72.5,5,1.0
EPCOT TECHNOLOGIES INC,26,9,5,2023,IL,ARLINGTON HEIGHTS,72.5,35,0.743
AFFILIATED ENGINEERS NW INC,5,0,2,2023,WI,MADISON,72.5,5,1.0
ST PAULS SCHOOL,5,0,2,2021,NH,CONCORD,72.5,5,1.0
YIBADA INC,5,0,2,2022,NY,DOVER PLAINS,72.5,5,1.0
REMARKABLE FOODS HOSPITALITY LLC,5,0,2,2023,NY,NEW YORK,72.5,5,1.0
CARLING TECHNOLOGIES INC,5,0,2,2021,CT,PLAINVILLE,72.5,5,1.0
RLC ENGINEERING PLLC,5,0,2,2022,ME,HALLOWELL,72.5,5,1.0
BHS PHYSICIANS NETWORK INC,5,0,2,2020,TX,SAN ANTONIO,72.5,5,1.0
YILING US CORPORATION,5,0,2,2021,FL,WESTON,72.5,5,1.0
ESSONOVA CORPORATION,5,0,2,2021,TX,PLANO,72.5,5,1.0
PROTECH IT RESOURCES,5,0,2,2021,NJ,EAST BRUNSWICK,72.5,5,1.0
YORKSHIRE GLOBAL SOLUTIONS INC,5,0,2,2023,VA,ASHBURN,72.5,5,1.0
EVERFORCE LLC,5,0,2,2022,CA,SANTA CLARA,72.5,5,1.0
GEO ENVIRO CONSULTING REMEDIATION,5,0,2,2022,NJ,PISCATAWAY,72.5,5,1.0
TETRAMEM INC,5,0,2,2022,CA,NEWARK,72.5,5,1.0
YUAN QIU BUS GR LLC DBA ELITE MOTO,5,0,2,2022,NC,CHARLOTTE,72.5,5,1.0
CALIBRE SYSTEMS INC,7,1,4,2022,VA,ALEXANDRIA,72.5,8,0.875
JUPITER RESEARCH INC,5,0,2,2022,NY,NEW YORK,72.5,5,1.0
JUST ENERGY US CORP,5,0,2,2022,TX,HOUSTON,72.5,5,1.0
JUST EVOTEC BIOLOGICS INC,5,0,2,2023,WA,SEATTLE,72.5,5,1.0
LINCOLN UNIVERSITY OF MISSOURI,5,0,2,2022,MO,JEFFERSON CITY,72.5,5,1.0
CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION,13,0,1,2022,CA,ELK GROVE,72.5,13,1.0
BIOANALYTIX INC,5,0,2,2021,MA,CAMBRIDGE,72.5,5,1.0
GENIUS SIS INC,5,0,2,2020,FL,PLANTATION,72.5,5,1.0
EXCERS INC,7,1,4,2023,TX,FRISCO,72.5,8,0.875
GENEVATE CONSULTING LLC,5,0,2,2022,PA,LEBANON,72.5,5,1.0
MICHIGAN CONFERENCE OF SEVENTH DAY,5,0,2,2022,MI,LANSING,72.5,5,1.0
GENESISTEC INC,5,0,2,2021,MA,BURLINGTON,72.5,5,1.0
RITCHIE BROS AUCTIONEERS AM INC,5,0,2,2022,NE,LINCOLN,72.5,5,1.0
GEON PERFORMANCE SOLUTIONS LLC,5,0,2,2022,OH,AVON LAKE,72.5,5,1.0
JUN HE LAW OFFICES LLC,5,0,2,2022,NY,NEW YORK,72.5,5,1.0
EUROTECH CONSTRUCTION CORP,7,1,4,2022,NY,NEW YORK,72.5,8,0.875
TERRELL & TERRELL CPAS LLP DBA BTE,5,0,2,2021,TX,ADDISON,72.5,5,1.0
ADVANCED RESOURCES GROUP INC,5,0,2,2020,MO,CHESTERFIELD,72.5,5,1.0
ST LUKE S PHYSICIAN GRP INC,5,0,2,2023,PA,BETHLEHEM,72.5,5,1.0
BIGDATA SOLUTIONS INC,5,0,2,2022,TX,IRVING,72.5,5,1.0
